Date,Round,Home_Team,Away_Team,Home_Goals,Away_Goals,Result,Home_Possesso_palla,Home_Parate,Home_Rigori,Home_Tiri_Totali,Home_Tiri_in_porta,Home_Tiri_in_porta_da_punizione,Home_Tiri_fuori,Home_Tiri_fuori_da_punizione,Home_Tiri_in_porta_da_area,Home_Tiri_in_porta_su_azione_da_palla_inattiva,Home_Tiri_fuori_su_azione_da_palla_inattiva,Home_Falli_commessi,Home_Falli_subiti,Home_Pali,Home_Occasioni_da_gol,Home_Assist_Totali,Home_Fuorigioco,Home_Corner,Home_Passaggi_riusciti,Home_Accuratezza_passaggi,Home_Ammonizioni,Home_Doppie_ammonizioni,Home_Espulsioni,Home_Passaggi_chiave,Home_Recuperi,Home_Ripartenze_da_Recupero,Home_Attacchi_centrali,Home_Attacchi_a_destra,Home_Attacchi_a_sinistra,Away_Possesso_palla,Away_Parate,Away_Rigori,Away_Tiri_Totali,Away_Tiri_in_porta,Away_Tiri_in_porta_da_punizione,Away_Tiri_fuori,Away_Tiri_fuori_da_punizione,Away_Tiri_in_porta_da_area,Away_Tiri_in_porta_su_azione_da_palla_inattiva,Away_Tiri_fuori_su_azione_da_palla_inattiva,Away_Falli_commessi,Away_Falli_subiti,Away_Pali,Away_Occasioni_da_gol,Away_Assist_Totali,Away_Fuorigioco,Away_Corner,Away_Passaggi_riusciti,Away_Accuratezza_passaggi,Away_Ammonizioni,Away_Doppie_ammonizioni,Away_Espulsioni,Away_Passaggi_chiave,Away_Recuperi,Away_Ripartenze_da_Recupero,Away_Attacchi_centrali,Away_Attacchi_a_destra,Away_Attacchi_a_sinistra
06/12/2020,10,SAMPDORIA,MILAN,1,2,2,40%,2,0,8,3,0,3,0,2,1,0,11,15,0,4,1,1,9,199,67%,2,0,0,2,51,,7,5,11,60%,2,1,12,6,1,3,0,6,0,1,16,10,2,7,1,2,6,453,84%,1,0,0,4,52,,19,8,4
12/12/2020,11,CROTONE,SPEZIA,4,1,1,47%,4,0,8,7,0,0,0,7,0,0,16,13,0,6,3,4,1,238,72%,3,0,0,1,33,,9,11,14,53%,3,0,10,5,0,4,0,4,0,1,14,16,0,4,0,5,4,395,83%,3,0,0,2,34,,10,14,12
12/12/2020,11,TORINO,UDINESE,2,3,2,59%,0,0,7,5,1,1,1,3,0,0,9,17,1,3,2,1,2,491,84%,3,0,0,0,29,,10,13,13,41%,2,0,9,3,0,2,0,3,0,0,17,9,0,4,3,3,2,298,81%,3,0,0,1,56,,8,9,12
13/12/2020,11,CAGLIARI,INTER,1,3,2,44%,8,0,7,2,0,3,0,2,0,0,10,17,0,4,0,1,3,340,82%,2,0,0,2,46,,8,9,14,56%,2,0,20,11,0,5,0,9,3,0,17,9,0,11,1,1,9,495,88%,1,0,0,6,33,,8,18,13
11/12/2020,11,SASSUOLO,BENEVENTO,1,0,1,45%,4,1,6,2,1,2,0,2,0,0,12,12,0,1,0,0,1,357,85%,2,0,1,0,47,,11,8,19,55%,1,0,24,7,0,10,0,7,1,2,14,12,1,10,0,2,10,370,87%,4,0,0,7,22,,15,23,21
12/12/2020,11,LAZIO,HELLAS VERONA,1,2,2,60%,2,0,11,5,0,3,0,5,1,0,13,15,0,7,1,0,5,435,79%,5,0,0,4,43,,17,7,9,40%,4,0,4,3,0,0,0,3,0,0,15,12,0,5,0,4,3,284,75%,3,0,0,4,75,,7,2,12
13/12/2020,11,ATALANTA,FIORENTINA,3,0,1,52%,4,0,14,10,1,0,0,9,2,0,17,13,0,9,2,3,11,428,86%,1,0,0,6,53,,9,10,18,48%,5,0,3,2,0,1,0,2,0,1,13,16,1,1,0,0,2,347,80%,2,0,0,2,47,,4,12,7
13/12/2020,11,NAPOLI,SAMPDORIA,2,1,1,64%,1,0,17,8,0,5,0,7,0,0,7,12,1,6,2,1,7,682,89%,3,0,0,4,27,,7,17,19,36%,5,0,7,3,0,1,0,2,1,1,13,7,0,3,1,5,5,286,78%,4,0,0,1,50,,4,15,9
13/12/2020,11,GENOA,JUVENTUS,1,3,2,29%,6,0,3,2,0,0,0,2,0,0,14,13,0,2,1,1,0,188,68%,3,0,0,1,49,,5,2,3,71%,1,2,17,9,2,6,0,8,1,2,14,14,0,8,1,3,10,547,88%,3,0,0,4,40,,23,13,11
13/12/2020,11,BOLOGNA,ROMA,1,5,2,55%,3,0,6,1,0,3,1,1,0,0,16,9,0,3,0,7,1,397,84%,4,0,0,2,38,,15,11,6,45%,1,0,13,8,0,5,0,6,0,2,9,16,1,12,4,3,5,335,81%,2,0,0,8,55,,9,11,14
Date,Round,Home_Team,Away_Team,Home_Goals,Away_Goals,Result,Home_Possesso_palla,Home_Parate,Home_Rigori,Home_Tiri_Totali,Home_Tiri_in_porta,Home_Tiri_in_porta_da_punizione,Home_Tiri_fuori,Home_Tiri_fuori_da_punizione,Home_Tiri_in_porta_da_area,Home_Tiri_in_porta_su_azione_da_palla_inattiva,Home_Tiri_fuori_su_azione_da_palla_inattiva,Home_Falli_commessi,Home_Falli_subiti,Home_Pali,Home_Occasioni_da_gol,Home_Assist_Totali,Home_Fuorigioco,Home_Corner,Home_Passaggi_riusciti,Home_Accuratezza_passaggi,Home_Ammonizioni,Home_Doppie_ammonizioni,Home_Espulsioni,Home_Passaggi_chiave,Home_Recuperi,Home_Ripartenze_da_Recupero,Home_Attacchi_centrali,Home_Attacchi_a_destra,Home_Attacchi_a_sinistra,Away_Possesso_palla,Away_Parate,Away_Rigori,Away_Tiri_Totali,Away_Tiri_in_porta,Away_Tiri_in_porta_da_punizione,Away_Tiri_fuori,Away_Tiri_fuori_da_punizione,Away_Tiri_in_porta_da_area,Away_Tiri_in_porta_su_azione_da_palla_inattiva,Away_Tiri_fuori_su_azione_da_palla_inattiva,Away_Falli_commessi,Away_Falli_subiti,Away_Pali,Away_Occasioni_da_gol,Away_Assist_Totali,Away_Fuorigioco,Away_Corner,Away_Passaggi_riusciti,Away_Accuratezza_passaggi,Away_Ammonizioni,Away_Doppie_ammonizioni,Away_Espulsioni,Away_Passaggi_chiave,Away_Recuperi,Away_Ripartenze_da_Recupero,Away_Attacchi_centrali,Away_Attacchi_a_destra,Away_Attacchi_a_sinistra
21/11/2020,8,CROTONE,LAZIO,0,2,2,51%,7,0,13,7,0,5,0,2,0,1,11,11,1,1,0,2,2,329,70%,3,0,0,1,52,,10,18,17,49%,6,0,13,9,0,4,1,8,1,0,11,11,0,8,2,2,6,303,66%,4,0,0,4,59,,10,14,10
21/11/2020,8,SPEZIA,ATALANTA,0,0,X,55%,4,0,8,3,0,3,0,2,0,0,19,18,1,2,0,2,1,437,77%,3,0,0,1,44,,7,13,12,45%,2,0,10,5,0,4,0,4,0,2,18,17,1,6,0,5,2,343,76%,3,0,0,5,63,,8,16,15
21/11/2020,8,JUVENTUS,CAGLIARI,2,0,1,62%,0,0,19,8,0,5,0,5,2,1,11,7,1,8,2,2,9,682,91%,3,0,0,5,32,,18,6,9,38%,5,0,3,0,0,2,0,0,0,0,7,11,0,0,0,1,1,319,83%,2,0,0,0,34,,6,7,5
22/11/2020,8,HELLAS VERONA,SASSUOLO,0,2,2,51%,3,0,17,7,1,6,0,4,1,2,13,19,4,7,0,6,7,310,76%,1,0,0,5,42,,10,13,21,49%,3,0,12,5,1,5,1,3,0,0,20,13,0,3,1,0,1,308,76%,3,0,0,1,54,,9,10,9
22/11/2020,8,FIORENTINA,BENEVENTO,0,1,2,58%,3,0,5,3,0,2,0,3,1,1,14,16,0,3,0,3,4,450,84%,2,0,0,2,34,,8,13,17,42%,3,0,13,4,1,6,0,3,1,0,16,14,0,5,1,2,4,233,74%,3,0,0,2,47,,12,10,13
22/11/2020,8,ROMA,PARMA,3,0,1,58%,1,0,15,7,0,5,0,5,0,0,5,4,1,11,3,1,4,641,91%,0,0,0,6,24,,21,11,13,42%,4,0,1,1,0,0,0,1,0,0,4,5,0,1,0,4,1,443,88%,0,0,0,1,42,,11,4,8
22/11/2020,8,SAMPDORIA,BOLOGNA,1,2,2,45%,2,0,9,4,0,4,0,3,1,0,12,7,0,4,1,2,9,299,74%,2,0,0,3,49,,11,20,15,55%,3,0,9,5,0,2,0,5,0,0,9,12,2,6,1,5,10,414,82%,2,0,0,2,58,,11,18,21
22/11/2020,8,INTER,TORINO,4,2,1,57%,4,1,9,7,1,2,0,6,0,1,20,12,2,7,2,4,1,450,88%,3,0,0,2,29,,10,13,7,43%,1,1,11,6,2,5,0,4,1,0,14,20,0,4,1,0,1,361,85%,2,0,0,3,53,,10,7,6
22/11/2020,8,UDINESE,GENOA,1,0,1,50%,1,0,9,4,1,3,0,1,0,1,17,14,1,2,1,0,4,357,84%,2,0,0,0,61,,13,7,4,50%,2,0,9,1,0,4,0,1,0,0,15,17,0,2,0,2,8,405,82%,3,0,1,1,34,,16,6,4
22/11/2020,8,NAPOLI,MILAN,1,3,2,59%,4,0,19,9,0,7,0,9,2,0,8,16,1,7,0,1,8,527,88%,1,1,0,3,28,,17,13,17,41%,6,0,14,7,0,4,0,6,1,1,16,8,0,7,3,3,5,289,81%,4,0,0,3,49,,17,5,8
28/11/2020,9,SASSUOLO,INTER,0,3,2,61%,2,0,11,3,0,4,0,2,0,1,13,16,1,2,0,1,6,643,92%,3,0,0,2,28,,13,14,16,39%,2,0,10,4,0,5,0,4,0,0,16,11,0,4,2,2,2,302,81%,1,0,0,2,50,,9,12,7
28/11/2020,9,BENEVENTO,JUVENTUS,1,1,X,37%,4,0,9,5,0,3,0,4,0,1,13,12,0,3,0,2,5,266,75%,6,0,0,1,50,,7,6,12,63%,4,0,15,5,0,6,1,3,0,1,13,11,0,5,1,5,8,568,89%,1,0,1,4,44,,11,17,21
28/11/2020,9,ATALANTA,HELLAS VERONA,0,2,2,58%,0,0,15,6,0,9,0,6,1,1,12,15,0,10,0,2,4,460,81%,2,0,0,9,53,,27,7,4,42%,5,1,7,3,1,4,0,2,0,0,15,12,1,4,1,2,1,312,76%,3,0,0,3,59,,7,8,8
29/11/2020,9,BOLOGNA,CROTONE,1,0,1,47%,1,0,11,7,0,4,0,6,2,0,15,18,1,4,0,4,10,301,77%,2,0,0,3,47,,8,10,11,53%,6,0,6,1,0,4,0,1,0,0,18,15,0,2,0,2,3,312,77%,4,0,0,1,55,,4,11,7
29/11/2020,9,LAZIO,UDINESE,1,3,2,51%,1,1,11,6,1,2,0,4,0,0,16,10,0,3,0,3,4,463,85%,3,0,0,2,34,,11,10,22,49%,5,0,9,4,0,2,0,3,1,2,10,15,1,5,2,0,4,363,82%,4,0,0,2,49,,9,9,10
29/11/2020,9,MILAN,FIORENTINA,2,0,1,48%,3,2,12,5,2,6,0,4,0,2,15,13,1,8,1,1,3,315,79%,2,0,0,2,53,,14,18,11,52%,2,0,5,3,0,2,0,3,1,1,15,14,1,3,0,2,6,409,81%,4,0,0,3,50,,9,21,21
29/11/2020,9,CAGLIARI,SPEZIA,2,2,X,46%,3,0,11,4,0,5,1,4,0,0,16,17,0,4,1,1,4,238,72%,0,0,0,2,50,,7,11,11,54%,2,1,12,5,1,7,0,5,0,2,18,15,0,4,1,6,5,425,80%,4,0,0,2,46,,8,16,9
29/11/2020,9,NAPOLI,ROMA,4,0,1,54%,1,0,16,9,1,4,0,5,0,0,3,10,0,7,1,4,11,471,87%,1,0,0,2,26,,20,5,4,46%,5,0,7,1,0,3,0,1,0,1,11,3,0,2,0,3,4,389,86%,2,0,0,2,36,,10,1,8
30/11/2020,9,GENOA,PARMA,1,2,2,51%,1,0,12,5,0,7,0,4,0,0,12,16,0,6,0,4,2,373,80%,2,0,0,4,38,,31,15,19,49%,4,0,8,3,0,4,0,3,0,0,16,11,1,6,1,6,2,351,79%,2,0,0,4,63,,22,24,12
30/11/2020,9,TORINO,SAMPDORIA,2,2,X,54%,0,0,13,8,1,3,0,6,1,1,17,16,0,9,2,5,6,445,87%,1,0,0,3,39,,18,11,17,46%,6,0,9,2,0,5,0,2,0,0,17,14,0,2,1,3,2,372,81%,2,0,0,0,45,,13,11,15
31/10/2020,6,CROTONE,ATALANTA,1,2,2,42%,5,0,5,2,1,2,0,1,0,0,11,20,0,3,0,2,1,345,78%,1,0,0,0,31,,7,6,1,58%,1,0,18,7,0,9,0,7,0,0,22,10,0,10,2,1,3,535,86%,3,0,0,7,52,,27,5,7
01/11/2020,6,TORINO,LAZIO,3,4,2,45%,0,1,10,6,1,2,1,5,2,0,11,12,1,5,1,2,7,382,87%,2,0,0,1,37,,10,8,15,55%,2,1,10,5,2,4,0,4,0,0,12,9,0,7,1,3,1,472,88%,4,0,0,2,39,,21,11,12
01/11/2020,6,NAPOLI,SASSUOLO,0,2,2,44%,3,0,23,7,1,11,0,5,1,3,7,8,0,3,0,3,12,390,85%,2,0,0,2,27,,11,16,18,56%,7,1,9,5,1,3,0,4,0,1,9,6,0,4,0,0,3,559,89%,2,0,0,1,42,,5,8,14
01/11/2020,6,SAMPDORIA,GENOA,1,1,X,58%,3,0,10,3,0,6,1,3,0,1,19,10,1,5,0,1,7,409,82%,5,0,0,3,37,,8,9,12,42%,2,0,9,4,0,3,0,4,1,0,11,18,0,2,1,5,4,323,78%,1,0,0,1,53,,12,2,6
01/11/2020,6,ROMA,FIORENTINA,2,0,1,43%,1,0,16,7,0,4,0,6,1,1,17,16,0,9,1,2,7,307,80%,3,0,0,6,58,,20,11,13,57%,4,0,6,1,0,2,0,1,0,0,16,17,0,2,0,1,4,469,84%,2,0,1,2,39,,10,9,19
31/10/2020,6,INTER,PARMA,2,2,X,64%,1,0,22,9,0,9,0,6,2,1,13,7,0,8,2,3,15,522,88%,1,0,0,5,41,,15,14,31,36%,7,0,5,3,0,1,0,2,0,0,7,12,0,2,2,2,2,188,68%,1,0,0,0,72,,5,5,6
02/11/2020,6,HELLAS VERONA,BENEVENTO,3,1,1,43%,4,0,13,7,0,3,0,5,0,1,20,14,1,7,3,0,4,271,74%,5,0,0,3,58,,6,8,13,57%,3,0,14,5,0,5,0,4,0,1,14,20,0,7,1,0,5,368,79%,4,0,1,4,40,,11,13,10
06/11/2020,7,SASSUOLO,UDINESE,0,0,X,59%,0,0,4,1,0,2,0,0,0,1,17,12,0,0,0,1,3,513,89%,2,0,0,0,44,,11,11,8,41%,1,0,1,0,0,0,0,0,0,0,13,17,0,1,0,5,6,271,81%,2,0,0,1,28,,5,13,9
07/11/2020,7,BENEVENTO,SPEZIA,0,3,2,37%,3,0,4,3,0,1,0,3,1,0,13,17,1,2,0,6,2,257,78%,3,0,0,2,36,,7,8,9,63%,2,0,13,7,0,5,0,6,1,1,18,13,1,6,3,3,4,470,84%,3,0,0,2,42,,7,13,14
01/11/2020,6,SPEZIA,JUVENTUS,1,4,2,42%,0,0,14,3,0,8,0,2,1,1,14,7,0,3,1,3,4,366,86%,3,0,0,2,22,,8,8,14,58%,2,1,8,5,1,3,0,5,0,0,7,14,0,7,3,5,3,492,88%,1,0,0,3,29,,13,9,10
07/11/2020,7,CAGLIARI,SAMPDORIA,2,0,1,57%,1,1,13,7,1,4,0,6,0,0,12,16,1,5,1,4,2,468,84%,0,0,0,3,39,,7,13,12,43%,4,0,5,1,0,2,0,0,0,1,16,12,0,0,0,5,6,346,81%,2,0,1,0,42,,6,13,18
01/11/2020,6,UDINESE,MILAN,1,2,2,47%,2,1,11,3,1,4,0,1,0,0,14,12,0,2,0,2,2,312,80%,2,0,0,1,41,,5,13,13,53%,2,0,11,4,0,4,2,3,0,0,12,14,0,3,1,3,4,525,88%,2,0,0,1,43,,14,9,17
07/11/2020,7,PARMA,FIORENTINA,0,0,X,39%,4,0,5,0,0,3,1,0,0,0,17,16,0,0,0,3,2,336,85%,1,0,0,0,32,,7,3,7,61%,0,0,6,4,1,1,0,1,0,0,17,16,0,1,0,0,3,636,90%,2,0,0,1,20,,8,6,15
31/10/2020,6,BOLOGNA,CAGLIARI,3,2,1,54%,2,0,21,11,2,5,1,6,1,1,12,18,0,8,3,2,7,352,79%,3,0,0,5,42,,8,14,13,46%,7,0,8,4,0,2,0,4,0,0,19,10,0,4,2,2,3,293,74%,3,0,0,2,53,,6,20,13
08/11/2020,7,ATALANTA,INTER,1,1,X,52%,2,0,9,4,0,3,0,3,0,0,15,12,0,4,1,1,2,484,89%,1,0,0,2,31,,11,9,7,48%,3,0,10,3,0,6,0,3,0,0,13,15,0,4,1,0,5,422,86%,3,0,0,2,25,,6,5,8
08/11/2020,7,LAZIO,JUVENTUS,1,1,X,54%,4,0,9,3,0,4,0,3,0,0,12,11,0,4,1,0,4,502,87%,2,0,0,3,26,,8,9,22,46%,2,0,10,6,1,3,0,4,0,1,12,12,1,5,1,2,2,438,88%,2,0,0,3,56,,8,7,12
08/11/2020,7,TORINO,CROTONE,0,0,X,48%,2,0,5,1,0,1,0,0,0,0,15,14,1,2,0,2,6,360,85%,3,0,0,1,45,,6,10,14,52%,1,0,9,2,0,5,1,2,0,0,16,12,0,1,0,2,3,376,83%,2,1,0,0,38,,7,12,15
08/11/2020,7,GENOA,ROMA,1,3,2,47%,7,0,7,5,0,1,0,4,0,0,10,10,0,4,1,2,1,435,83%,1,0,0,4,45,,15,14,7,53%,4,0,18,11,0,4,0,9,0,0,11,10,1,7,3,2,8,412,83%,0,0,0,8,51,,15,16,15
23/10/2020,5,SASSUOLO,TORINO,3,3,X,62%,8,0,18,9,0,4,0,7,0,1,10,11,0,8,3,1,6,633,91%,2,0,0,4,34,,12,10,26,38%,4,0,17,12,0,2,0,11,2,1,12,10,1,11,3,0,8,201,80%,2,0,0,5,40,,18,10,10
24/10/2020,5,ATALANTA,SAMPDORIA,1,3,2,69%,1,1,16,5,1,5,1,5,0,1,11,17,0,5,0,1,3,577,88%,3,0,0,3,42,,8,19,12,31%,4,1,6,4,1,1,0,4,0,1,18,10,0,5,3,0,1,245,73%,4,0,0,1,61,,4,5,8
24/10/2020,5,LAZIO,BOLOGNA,2,1,1,50%,4,0,7,4,0,2,0,2,1,0,14,14,0,4,1,3,8,365,82%,3,0,0,2,58,,10,4,9,50%,1,0,18,6,1,10,0,4,1,1,15,14,1,6,1,2,9,401,85%,3,0,0,3,43,,23,1,3
25/10/2020,5,FIORENTINA,UDINESE,3,2,1,47%,4,0,4,3,0,1,0,3,0,0,16,13,0,3,3,1,2,283,80%,1,0,0,0,48,,4,11,7,53%,0,0,13,6,0,5,0,5,1,3,14,14,0,6,2,7,7,354,85%,3,0,0,3,33,,9,18,13
24/10/2020,5,GENOA,INTER,0,2,2,39%,2,0,1,0,0,1,0,0,0,0,11,16,0,0,0,2,1,326,77%,1,0,0,0,58,,5,6,4,61%,0,0,13,6,0,4,0,3,1,1,17,11,0,6,2,2,9,567,87%,1,0,0,4,40,,7,17,12
26/10/2020,5,MILAN,ROMA,3,3,X,56%,6,1,14,11,3,2,0,7,3,2,15,15,1,8,2,7,7,436,87%,3,0,0,5,35,,11,11,8,44%,6,1,14,9,1,2,0,6,2,1,15,14,0,4,1,0,7,367,85%,2,0,0,1,46,,6,10,19
08/11/2020,7,MILAN,HELLAS VERONA,2,2,X,65%,1,1,27,9,0,12,2,9,1,3,16,18,1,9,1,3,14,418,80%,1,0,0,7,43,,24,9,9,35%,7,0,5,3,0,2,0,3,2,0,20,12,1,5,0,2,1,183,65%,3,0,0,4,74,,7,7,12
25/10/2020,5,BENEVENTO,NAPOLI,1,2,2,41%,4,0,7,3,1,3,1,2,0,0,18,13,0,2,1,1,3,206,70%,3,0,0,0,51,,6,4,8,59%,2,0,16,8,0,6,0,4,2,1,13,17,3,9,2,2,15,500,88%,1,0,0,5,40,,12,17,8
25/10/2020,5,CAGLIARI,CROTONE,4,2,1,46%,4,0,17,8,1,7,0,5,1,1,13,13,0,8,2,2,5,330,84%,2,0,0,4,38,,13,11,9,54%,4,0,12,6,0,5,0,6,0,0,13,12,0,8,1,1,1,451,88%,2,1,0,6,28,,7,11,5
25/10/2020,5,JUVENTUS,HELLAS VERONA,1,1,X,59%,1,0,21,8,0,8,0,7,0,1,14,17,2,10,0,4,6,513,87%,1,0,0,7,52,,26,5,5,41%,5,0,5,2,0,3,0,2,0,0,19,13,0,3,1,3,3,277,78%,4,0,0,2,38,,13,3,5
25/10/2020,5,PARMA,SPEZIA,2,2,X,49%,4,1,15,7,1,8,1,7,0,1,12,21,0,10,0,4,12,326,80%,3,0,0,7,23,,18,9,25,51%,5,0,14,9,0,4,0,7,1,0,22,12,3,10,2,1,3,366,82%,2,0,0,6,45,,10,18,18
08/11/2020,7,BOLOGNA,NAPOLI,0,1,2,50%,3,0,8,4,0,2,0,3,0,0,12,9,0,4,0,6,4,364,82%,3,0,0,2,51,,6,9,7,50%,3,0,12,4,0,4,1,3,0,0,11,12,0,3,1,0,7,408,83%,0,0,0,2,45,,10,17,9
