NSeasons,NMatches,Ntop,Acc
1,1,1,32.32
1,1,2,37.20
1,1,3,35.98
1,1,4,35.98
1,1,5,36.59
1,1,6,37.20
1,1,7,40.85
1,1,8,40.85
1,1,9,37.80
1,1,10,37.20
1,1,11,40.85
1,1,12,39.63
1,1,13,40.24
1,1,14,43.29
1,1,15,44.51
1,2,1,39.63
1,2,2,39.63
1,2,3,42.07
1,2,4,42.68
1,2,5,42.07
1,2,6,45.12
1,2,7,45.12
1,2,8,46.95
1,2,9,43.90
1,2,10,46.34
1,2,11,45.73
1,2,12,43.29
1,2,13,46.34
1,2,14,44.51
1,2,15,45.73
1,3,1,43.90
1,3,2,42.68
1,3,3,39.63
1,3,4,37.80
1,3,5,36.59
1,3,6,45.12
1,3,7,46.34
1,3,8,46.95
1,3,9,46.95
1,3,10,46.95
1,3,11,48.78
1,3,12,47.56
1,3,13,47.56
1,3,14,46.95
1,3,15,48.78
1,4,1,40.85
1,4,2,41.46
1,4,3,41.46
1,4,4,39.63
1,4,5,43.90
1,4,6,45.73
1,4,7,48.17
1,4,8,48.78
1,4,9,45.12
1,4,10,46.95
1,4,11,46.95
1,4,12,48.78
1,4,13,48.78
1,4,14,48.17
1,4,15,46.95
1,5,1,47.56
1,5,2,45.73
1,5,3,40.24
1,5,4,43.90
1,5,5,42.07
1,5,6,47.56
1,5,7,48.17
1,5,8,48.78
1,5,9,50.00
1,5,10,48.78
1,5,11,48.78
1,5,12,48.17
1,5,13,48.17
1,5,14,48.17
1,5,15,48.78
1,6,1,43.90
1,6,2,43.29
1,6,3,42.68
1,6,4,42.07
1,6,5,43.90
1,6,6,45.73
1,6,7,46.95
1,6,8,47.56
1,6,9,48.17
1,6,10,46.95
1,6,11,47.56
1,6,12,47.56
1,6,13,49.39
1,6,14,48.17
1,6,15,47.56
1,7,1,45.12
1,7,2,44.51
1,7,3,45.12
1,7,4,46.95
1,7,5,47.56
1,7,6,50.00
1,7,7,48.78
1,7,8,48.78
1,7,9,47.56
1,7,10,48.78
1,7,11,50.61
1,7,12,50.61
1,7,13,48.78
1,7,14,50.00
1,7,15,50.61
1,8,1,45.73
1,8,2,47.56
1,8,3,47.56
1,8,4,45.73
1,8,5,46.34
1,8,6,53.66
1,8,7,50.00
1,8,8,49.39
1,8,9,52.44
1,8,10,50.00
1,8,11,50.00
1,8,12,50.61
1,8,13,50.61
1,8,14,51.83
1,8,15,51.22
1,9,1,42.68
1,9,2,45.73
1,9,3,44.51
1,9,4,46.34
1,9,5,46.95
1,9,6,50.00
1,9,7,48.78
1,9,8,50.00
1,9,9,48.78
1,9,10,50.00
1,9,11,50.61
1,9,12,50.00
1,9,13,48.78
1,9,14,48.78
1,9,15,49.39
1,10,1,45.12
1,10,2,44.51
1,10,3,47.56
1,10,4,46.95
1,10,5,46.95
1,10,6,53.05
1,10,7,52.44
1,10,8,51.83
1,10,9,51.22
1,10,10,51.83
1,10,11,52.44
1,10,12,51.83
1,10,13,51.83
1,10,14,51.22
1,10,15,51.22
2,1,1,43.29
2,1,2,36.59
2,1,3,40.85
2,1,4,39.63
2,1,5,39.02
2,1,6,45.12
2,1,7,42.07
2,1,8,43.90
2,1,9,43.29
2,1,10,43.29
2,1,11,41.46
2,1,12,44.51
2,1,13,43.29
2,1,14,43.90
2,1,15,46.95
2,2,1,41.46
2,2,2,41.46
2,2,3,41.46
2,2,4,39.63
2,2,5,40.85
2,2,6,45.12
2,2,7,44.51
2,2,8,45.12
2,2,9,45.12
2,2,10,45.12
2,2,11,47.56
2,2,12,48.78
2,2,13,45.12
2,2,14,46.34
2,2,15,46.95
2,3,1,43.29
2,3,2,43.90
2,3,3,39.02
2,3,4,43.90
2,3,5,44.51
2,3,6,45.73
2,3,7,46.95
2,3,8,47.56
2,3,9,47.56
2,3,10,45.73
2,3,11,46.34
2,3,12,48.78
2,3,13,47.56
2,3,14,47.56
2,3,15,48.17
2,4,1,47.56
2,4,2,45.12
2,4,3,43.29
2,4,4,45.12
2,4,5,46.34
2,4,6,48.17
2,4,7,46.34
2,4,8,48.78
2,4,9,46.34
2,4,10,47.56
2,4,11,46.95
2,4,12,48.17
2,4,13,47.56
2,4,14,46.95
2,4,15,46.95
2,5,1,44.51
2,5,2,45.12
2,5,3,42.68
2,5,4,47.56
2,5,5,43.29
2,5,6,48.17
2,5,7,48.78
2,5,8,46.34
2,5,9,47.56
2,5,10,47.56
2,5,11,46.95
2,5,12,49.39
2,5,13,45.73
2,5,14,47.56
2,5,15,48.78
2,6,1,42.07
2,6,2,46.95
2,6,3,45.12
2,6,4,42.07
2,6,5,42.68
2,6,6,47.56
2,6,7,45.73
2,6,8,46.34
2,6,9,47.56
2,6,10,46.34
2,6,11,46.95
2,6,12,45.73
2,6,13,46.34
2,6,14,45.73
2,6,15,46.34
2,7,1,48.17
2,7,2,51.83
2,7,3,45.12
2,7,4,44.51
2,7,5,43.90
2,7,6,52.44
2,7,7,50.00
2,7,8,50.00
2,7,9,51.22
2,7,10,50.00
2,7,11,48.78
2,7,12,48.78
2,7,13,49.39
2,7,14,49.39
2,7,15,49.39
2,8,1,47.56
2,8,2,48.17
2,8,3,45.12
2,8,4,45.73
2,8,5,48.78
2,8,6,53.05
2,8,7,49.39
2,8,8,50.61
2,8,9,49.39
2,8,10,50.61
2,8,11,49.39
2,8,12,48.78
2,8,13,51.22
2,8,14,50.61
2,8,15,51.22
2,9,1,45.73
2,9,2,45.12
2,9,3,44.51
2,9,4,45.73
2,9,5,45.12
2,9,6,49.39
2,9,7,49.39
2,9,8,48.78
2,9,9,49.39
2,9,10,50.00
2,9,11,50.61
2,9,12,49.39
2,9,13,50.00
2,9,14,49.39
2,9,15,48.78
2,10,1,45.12
2,10,2,48.17
2,10,3,46.95
2,10,4,46.34
2,10,5,45.73
2,10,6,53.05
2,10,7,51.83
2,10,8,51.22
2,10,9,52.44
2,10,10,52.44
2,10,11,51.83
2,10,12,51.83
2,10,13,51.83
2,10,14,51.22
2,10,15,51.22
3,1,1,42.07
3,1,2,40.85
3,1,3,42.68
3,1,4,43.90
3,1,5,42.07
3,1,6,46.95
3,1,7,46.34
3,1,8,46.34
3,1,9,46.34
3,1,10,45.73
3,1,11,45.12
3,1,12,48.17
3,1,13,45.12
3,1,14,46.34
3,1,15,46.95
3,2,1,40.85
3,2,2,43.29
3,2,3,45.73
3,2,4,45.73
3,2,5,42.68
3,2,6,48.78
3,2,7,48.78
3,2,8,48.17
3,2,9,49.39
3,2,10,49.39
3,2,11,48.17
3,2,12,46.95
3,2,13,48.17
3,2,14,46.95
3,2,15,46.34
3,3,1,45.73
3,3,2,47.56
3,3,3,40.85
3,3,4,45.73
3,3,5,45.12
3,3,6,48.78
3,3,7,47.56
3,3,8,46.34
3,3,9,48.17
3,3,10,47.56
3,3,11,47.56
3,3,12,48.17
3,3,13,48.17
3,3,14,47.56
3,3,15,46.34
3,4,1,44.51
3,4,2,45.73
3,4,3,46.34
3,4,4,44.51
3,4,5,47.56
3,4,6,50.00
3,4,7,50.61
3,4,8,50.00
3,4,9,48.78
3,4,10,51.83
3,4,11,51.22
3,4,12,50.00
3,4,13,51.22
3,4,14,50.61
3,4,15,50.00
3,5,1,45.12
3,5,2,45.12
3,5,3,46.34
3,5,4,49.39
3,5,5,47.56
3,5,6,50.00
3,5,7,48.78
3,5,8,49.39
3,5,9,49.39
3,5,10,51.22
3,5,11,49.39
3,5,12,50.00
3,5,13,48.78
3,5,14,49.39
3,5,15,48.78
3,6,1,46.34
3,6,2,46.34
3,6,3,43.29
3,6,4,42.68
3,6,5,43.29
3,6,6,50.00
3,6,7,48.17
3,6,8,47.56
3,6,9,50.61
3,6,10,47.56
3,6,11,47.56
3,6,12,48.17
3,6,13,48.17
3,6,14,47.56
3,6,15,48.17
3,7,1,52.44
3,7,2,46.34
3,7,3,45.73
3,7,4,46.95
3,7,5,47.56
3,7,6,51.83
3,7,7,49.39
3,7,8,50.61
3,7,9,52.44
3,7,10,51.22
3,7,11,50.00
3,7,12,49.39
3,7,13,49.39
3,7,14,49.39
3,7,15,49.39
3,8,1,49.39
3,8,2,46.34
3,8,3,45.12
3,8,4,45.73
3,8,5,46.34
3,8,6,51.22
3,8,7,52.44
3,8,8,51.22
3,8,9,50.00
3,8,10,51.83
3,8,11,51.22
3,8,12,52.44
3,8,13,51.22
3,8,14,50.00
3,8,15,52.44
3,9,1,48.17
3,9,2,45.73
3,9,3,44.51
3,9,4,45.12
3,9,5,48.78
3,9,6,53.05
3,9,7,51.83
3,9,8,50.61
3,9,9,51.83
3,9,10,52.44
3,9,11,51.83
3,9,12,51.83
3,9,13,51.83
3,9,14,51.83
3,9,15,51.83
3,10,1,49.39
3,10,2,48.78
3,10,3,46.34
3,10,4,45.73
3,10,5,47.56
3,10,6,53.66
3,10,7,53.66
3,10,8,53.66
3,10,9,55.49
3,10,10,53.05
3,10,11,54.27
3,10,12,51.83
3,10,13,52.44
3,10,14,51.83
3,10,15,52.44
4,1,1,40.85
4,1,2,42.07
4,1,3,43.90
4,1,4,43.29
4,1,5,42.07
4,1,6,47.56
4,1,7,46.95
4,1,8,48.17
4,1,9,45.73
4,1,10,45.12
4,1,11,46.95
4,1,12,48.17
4,1,13,48.78
4,1,14,46.34
4,1,15,48.17
4,2,1,41.46
4,2,2,43.90
4,2,3,49.39
4,2,4,42.68
4,2,5,44.51
4,2,6,49.39
4,2,7,50.00
4,2,8,49.39
4,2,9,48.78
4,2,10,50.61
4,2,11,48.78
4,2,12,47.56
4,2,13,48.78
4,2,14,50.00
4,2,15,49.39
4,3,1,42.68
4,3,2,46.95
4,3,3,40.85
4,3,4,43.90
4,3,5,45.73
4,3,6,44.51
4,3,7,49.39
4,3,8,47.56
4,3,9,48.17
4,3,10,48.78
4,3,11,49.39
4,3,12,49.39
4,3,13,48.78
4,3,14,46.34
4,3,15,48.78
4,4,1,42.07
4,4,2,43.90
4,4,3,46.95
4,4,4,46.34
4,4,5,47.56
4,4,6,47.56
4,4,7,50.61
4,4,8,50.00
4,4,9,48.17
4,4,10,50.61
4,4,11,50.61
4,4,12,49.39
4,4,13,51.22
4,4,14,50.61
4,4,15,48.78
4,5,1,42.07
4,5,2,42.07
4,5,3,50.61
4,5,4,50.00
4,5,5,50.00
4,5,6,48.17
4,5,7,50.00
4,5,8,48.17
4,5,9,50.00
4,5,10,48.78
4,5,11,50.00
4,5,12,48.17
4,5,13,48.17
4,5,14,49.39
4,5,15,49.39
4,6,1,43.90
4,6,2,47.56
4,6,3,50.00
4,6,4,45.73
4,6,5,48.17
4,6,6,51.22
4,6,7,48.17
4,6,8,47.56
4,6,9,50.00
4,6,10,48.17
4,6,11,48.17
4,6,12,48.78
4,6,13,48.17
4,6,14,48.17
4,6,15,48.78
4,7,1,47.56
4,7,2,50.61
4,7,3,48.78
4,7,4,48.78
4,7,5,49.39
4,7,6,52.44
4,7,7,51.22
4,7,8,51.83
4,7,9,53.05
4,7,10,51.22
4,7,11,51.22
4,7,12,50.61
4,7,13,50.61
4,7,14,51.22
4,7,15,51.22
4,8,1,43.29
4,8,2,48.78
4,8,3,44.51
4,8,4,48.17
4,8,5,48.17
4,8,6,52.44
4,8,7,52.44
4,8,8,51.22
4,8,9,53.66
4,8,10,53.05
4,8,11,52.44
4,8,12,51.22
4,8,13,51.22
4,8,14,52.44
4,8,15,51.22
4,9,1,46.34
4,9,2,46.34
4,9,3,48.17
4,9,4,46.34
4,9,5,47.56
4,9,6,51.22
4,9,7,51.22
4,9,8,53.66
4,9,9,50.61
4,9,10,54.27
4,9,11,52.44
4,9,12,51.83
4,9,13,51.22
4,9,14,52.44
4,9,15,52.44
4,10,1,48.78
4,10,2,46.34
4,10,3,51.22
4,10,4,47.56
4,10,5,48.17
4,10,6,55.49
4,10,7,54.88
4,10,8,53.66
4,10,9,55.49
4,10,10,54.88
4,10,11,54.27
4,10,12,53.05
4,10,13,53.66
4,10,14,53.66
4,10,15,52.44
5,1,1,40.85
5,1,2,40.24
5,1,3,45.73
5,1,4,44.51
5,1,5,43.29
5,1,6,45.73
5,1,7,48.78
5,1,8,46.34
5,1,9,45.73
5,1,10,46.95
5,1,11,47.56
5,1,12,46.95
5,1,13,47.56
5,1,14,49.39
5,1,15,48.78
5,2,1,42.68
5,2,2,43.29
5,2,3,39.63
5,2,4,44.51
5,2,5,43.29
5,2,6,46.95
5,2,7,48.17
5,2,8,46.95
5,2,9,46.95
5,2,10,46.95
5,2,11,47.56
5,2,12,46.95
5,2,13,46.95
5,2,14,46.95
5,2,15,47.56
5,3,1,46.34
5,3,2,44.51
5,3,3,40.85
5,3,4,45.12
5,3,5,45.73
5,3,6,45.12
5,3,7,47.56
5,3,8,48.17
5,3,9,45.73
5,3,10,48.78
5,3,11,46.95
5,3,12,46.34
5,3,13,47.56
5,3,14,46.95
5,3,15,48.17
5,4,1,46.95
5,4,2,41.46
5,4,3,43.29
5,4,4,48.17
5,4,5,46.95
5,4,6,48.17
5,4,7,50.61
5,4,8,51.22
5,4,9,50.61
5,4,10,53.66
5,4,11,51.22
5,4,12,48.78
5,4,13,49.39
5,4,14,51.22
5,4,15,51.22
5,5,1,42.68
5,5,2,42.68
5,5,3,50.00
5,5,4,48.78
5,5,5,48.17
5,5,6,46.34
5,5,7,47.56
5,5,8,48.17
5,5,9,48.17
5,5,10,48.17
5,5,11,48.78
5,5,12,48.78
5,5,13,47.56
5,5,14,49.39
5,5,15,48.78
5,6,1,40.24
5,6,2,45.12
5,6,3,48.17
5,6,4,46.34
5,6,5,46.34
5,6,6,50.00
5,6,7,49.39
5,6,8,49.39
5,6,9,51.83
5,6,10,49.39
5,6,11,49.39
5,6,12,49.39
5,6,13,48.78
5,6,14,50.00
5,6,15,50.00
5,7,1,45.73
5,7,2,45.12
5,7,3,50.61
5,7,4,48.78
5,7,5,46.95
5,7,6,53.05
5,7,7,50.61
5,7,8,50.61
5,7,9,51.83
5,7,10,50.61
5,7,11,50.00
5,7,12,50.00
5,7,13,50.00
5,7,14,48.78
5,7,15,50.61
5,8,1,48.17
5,8,2,49.39
5,8,3,45.73
5,8,4,46.34
5,8,5,48.78
5,8,6,50.61
5,8,7,50.61
5,8,8,50.00
5,8,9,48.78
5,8,10,51.22
5,8,11,50.61
5,8,12,49.39
5,8,13,51.83
5,8,14,51.83
5,8,15,50.00
5,9,1,43.90
5,9,2,45.12
5,9,3,45.73
5,9,4,45.73
5,9,5,45.73
5,9,6,52.44
5,9,7,52.44
5,9,8,51.83
5,9,9,51.22
5,9,10,51.83
5,9,11,53.05
5,9,12,50.61
5,9,13,51.22
5,9,14,50.61
5,9,15,50.61
5,10,1,42.07
5,10,2,44.51
5,10,3,46.34
5,10,4,47.56
5,10,5,46.34
5,10,6,53.05
5,10,7,53.05
5,10,8,52.44
5,10,9,53.05
5,10,10,53.05
5,10,11,53.05
5,10,12,53.05
5,10,13,51.83
5,10,14,52.44
5,10,15,51.83
